city,year,weekofyear,total_cases
iq,2012,32,3
iq,2012,33,3
iq,2012,34,4
iq,2012,35,5
iq,2012,36,4
iq,2012,37,4
iq,2012,38,4
iq,2012,39,5
iq,2012,40,4
iq,2012,41,10
iq,2012,42,6
iq,2012,43,11
iq,2012,44,9
iq,2012,45,9
iq,2012,46,14
iq,2012,47,14
iq,2012,48,15
iq,2012,49,10
iq,2012,50,10
iq,2012,51,12
iq,2013,1,11
iq,2013,2,6
iq,2013,3,8
iq,2013,4,10
iq,2013,5,10
iq,2013,6,11
iq,2013,7,9
iq,2013,8,10
iq,2013,9,8
iq,2013,10,9
iq,2013,11,11
iq,2013,12,15
iq,2013,13,11
iq,2013,14,8
iq,2013,15,8
iq,2013,16,12
iq,2013,17,8
iq,2013,18,3
iq,2013,19,11
iq,2013,20,8
iq,2013,21,7
iq,2013,22,7
iq,2013,23,7
iq,2013,24,5
iq,2013,25,4
iq,2013,26,6
